date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:58	439347/439347	---M--	200	added ('OK')	image/jpeg	etag:%221b09d228314584be2859c356eb9f4d6b%22	https://uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5eb04e6a3485d1983ccc6910_WhatsApp%20Image%202020-04-06%20at%204.11.47%20PM.jpeg	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5eb04e6a3485d1983ccc6910_WhatsApp%20Image%202020-04-06%20at%204.11.47%20PM.jpg	(from http://colorrituals.webflow.io/)
10:10:06	19213/19213	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:10:12%20GMT	http://colorrituals.webflow.io/photos/colors-of-human	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/photos/colors-of-human.html	(from http://colorrituals.webflow.io/)
10:10:06	160440/160440	---M--	200	added ('OK')	image/jpeg	etag:%22dd07f3ddeb039db9f8e0045eb88e1c86%22	https://uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5eb049161030ea30f4d84262_WhatsApp%20Image%202020-05-04%20at%206.39.57%20PM%20(1).jpeg	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5eb049161030ea30f4d84262_WhatsApp%20Image%202020-05-04%20at%206.39.57%20PM%20(1).jpg	(from http://colorrituals.webflow.io/)
10:10:08	19941/19941	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:10:13%20GMT	http://colorrituals.webflow.io/photos/city	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/photos/city.html	(from http://colorrituals.webflow.io/)
10:10:09	121369/121369	---M--	200	added ('OK')	image/jpeg	etag:%224d9adf843b19a6a7a43d7bce119f1b55%22	https://uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5eb034ff0b679006f73cf047_236452b0-230a-4929-85ce-69d66542ee09.jpg	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5eb034ff0b679006f73cf047_236452b0-230a-4929-85ce-69d66542ee09.jpg	(from http://colorrituals.webflow.io/)
10:10:11	50522/50522	---M--	200	added ('OK')	image/jpeg	etag:%223c01b3d3035efd198d4750a5fbad63b0%22	https://uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9a39d5b81f0c_photo-1416934625760-d56f5e79f6fe-square700.jpg	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9a39d5b81f0c_photo-1416934625760-d56f5e79f6fe-square700.jpg	(from http://colorrituals.webflow.io/)
10:10:12	19977/19977	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:10:16%20GMT	http://colorrituals.webflow.io/photos/together	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/photos/together.html	(from http://colorrituals.webflow.io/)
10:10:14	19865/19865	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:10:20%20GMT	http://colorrituals.webflow.io/photos/blue	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/photos/blue.html	(from http://colorrituals.webflow.io/)
10:10:15	126729/126729	---M--	200	added ('OK')	image/jpeg	etag:%22bc9108123520f4fa2e9075c618de2c13%22	https://uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9a1998b81f0a_photo-1427955569621-3e494de2b1d2-square700.jpg	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9a1998b81f0a_photo-1427955569621-3e494de2b1d2-square700.jpg	(from http://colorrituals.webflow.io/)
10:10:17	19804/19804	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:10:22%20GMT	http://colorrituals.webflow.io/photos/coast	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/photos/coast.html	(from http://colorrituals.webflow.io/)
10:10:17	109937/109937	---M--	200	added ('OK')	image/jpeg	etag:%2264450828b6532d60cca5d6821ba02c4a%22	https://uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9a9bccb81f14_photo-1428184003419-4cfd6ab3d280-square700.jpg	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9a9bccb81f14_photo-1428184003419-4cfd6ab3d280-square700.jpg	(from http://colorrituals.webflow.io/)
